Index,passenger_count,year,month,weekday,hour,abs_longi,abs_lat,distance,amount
0,1,2015,1,1,13,0.00811004,0.01996994,2.323259482,10.346
1,1,2015,1,1,13,0.01202393,0.01981735,2.425352902,8.878
2,1,2011,10,5,11,0.00287,0.005121,0.618627871,4.148
3,1,2012,12,5,21,0.009288,0.016172,1.961032516,8.259
4,1,2012,12,5,21,0.022519,0.045348,5.387301254,15.829
5,1,2012,12,5,21,0.018194,0.025494,3.222548878,9.435
6,1,2011,10,3,12,0.010609,0.002311,0.929601309,5.938
7,1,2011,10,3,12,0.207801,0.112732,21.54010166,52.0783
8,1,2011,10,3,12,0.018993,0.031727,3.873961695,11.194
9,1,2014,2,1,15,0.011104,0.005206,1.09979391,6.536
10,1,2014,2,1,15,0.009926,0.019439,2.317685162,9.8367
11,1,2014,2,1,15,0.045227,0.026544,4.8191787,17.6716
12,1,2010,3,0,20,0.005968,0.004668,0.722669705,4.504
13,1,2010,3,0,20,0.019833,0.001178,1.675503136,8.622
14,1,2011,10,3,3,0.009058,0.021448,2.504032343,8.894
15,1,2011,10,3,3,0.032405,0.03891,5.115375167,12.823
16,1,2012,7,6,16,0.003458,0.000597,0.29883804,4.785
17,1,2012,7,6,16,0.024226,0.013477,2.531147462,10.6323
18,1,2012,7,6,16,0.001452,0.006932,0.780444467,4.933
19,1,2012,7,6,16,0.005036,0.000462,0.427281963,4.672
20,1,2014,10,2,2,0.01567,0.008923,1.651945503,8.129
21,1,2014,6,5,13,0.021423,0.007098,1.969210548,9.713
22,1,2014,6,5,13,0.003665,0.011407,1.305441254,6.835
23,1,2014,6,5,13,0.012005,0.01448,1.901294503,7.151
24,1,2014,6,5,13,0.025313,0.04831,5.779720338,16.444
25,1,2014,6,5,13,0.011368,0.005255,1.121686594,6.924
26,1,2014,6,5,13,0.128863,0.083777,14.30653963,37.3792
27,1,2014,6,5,13,0.05383,0.074343,9.427870096,23.5263
28,1,2014,6,5,13,0.003743,0.009895,1.144528641,6.65
29,1,2014,6,5,13,0.034383,0.03324,4.696370726,15.2058
30,1,2014,6,5,13,0.00622,0.025655,2.900375936,11.395
31,1,2014,6,5,13,0.00553,0.00977,1.182081057,6.798
32,1,2014,6,5,13,0.000787,0.00961,1.070636589,5.97
33,1,2014,6,5,13,0.006213,0.025415,2.874028442,11.65
34,1,2014,6,5,13,0.008205,0.017385,2.052893903,9.838
35,1,2014,6,5,13,0.01174,0.01089,1.563540165,6.96
36,1,2014,6,5,13,0.00231,0.010145,1.144735283,6.23
37,1,2014,6,5,13,0.010612,0.003885,0.992995448,6.121
38,1,2014,6,5,13,0.01861,0.000328,1.568222222,10.305
39,1,2014,6,5,13,0.002365,0.00619,0.716517985,5.578
